"EMPRESA,STAND",Status,Nome 1,Linkedin 1,Nome 2,Linkedin 2
"FBAH,I-03",,,,,
"DB DIAGNÓSTICOS,C-141",,Leandro Dattoli,https://www.linkedin.com/in/leandro-dattoli/,Tobias Thabet,https://www.linkedin.com/in/tobias-thabet-martins-a80b78142/
"VALMIG,H-08",,Leonardo Perin,https://www.linkedin.com/in/leonardo-perin-de-oliveira-99712174/,,
"Unikon,C-210",,,,,
"PANAMEDICAL,C-78",,Horacio Ogata,https://www.linkedin.com/in/horacio-ogata-b213141b/,,
"BORLA,D-191",,,,,
"ORTHOTRAUMA,J-40a",,,,,
"OQTIS,B-37",,,,,
"BTL BRASIL,G-145",,,,,
"Dixmedical,F-64",,,,,
"SIUI,G-54",,,,,
"SL INSTRUMENTOS,G-158",,,,,
"OPUS MEDICAL,G-50",,,,,
"First Medical Service,G-38",,,,,
"Nilko Armários,G-70",,,,,
"NORA ALIMENTOS,G-110",,,,,
"Topema,F-90",,,,,
"Pixeon,E-91",,,,,
"MH LAB,C-121",,,,,
"TECME DO BRASIL,H-22",,Vanessa Gomes,https://www.linkedin.com/in/vanessa-gomes-gestora-comercial-saude/,,
"Inova Technology,G-169c",,,,,
"MTEX,H-180a",,,,,
"RAZEK,E-179",,,,,
"Global Medical,H-54",,,,,
"BK HOSPITALAR,H-49",,,,,
"PCI GASES DO BRASIL,D-68",,,,,
"TS SHARA,K-60",,,,,
"MEGA PLÁSTICOS,D-198",,,,,
"Instituto ACQUA,A-25",,,,,
"PANMEDICA NEGOCIOS HOSPITALARES LTDA,B-70",,,,,
"PHELCOM,A-127",,Jose Syuchi,https://www.linkedin.com/in/josestuchi/,,
"SAPI MED,D-280",,,,,
"SPINE IMPLANTES,J-40m",,,,,
"VALLITECH,F-51",,Ricardo Cristian,https://www.linkedin.com/in/ricardocfmarques/,,
"Special Gases do Brasil,D-47",,,,,
"DIMEX,G-220a",,,,,
"Pé sem dor,H-125",,,,,
"Trimed,B-181",,,,,
"Delfar Produtos Médicos,C-181",,,,,
"Uniqmed,D-171",,,,,
"Doc Tools,H-149",,,,,
"UTAS,A-67a",,,,,
"CRISTÓFOLI BIOSSEGURANÇA,F-61",,,,,
"Airo PVC,H-104",,,,,
"ABRAMED,B-137",,,,,
"Core Technology,C-56",,,,,
"MANTOVA,J-40b",,,,,
"Animati 2,E-119",,Jean Carlo Albiero,Animati,,
"IBRAMED,D-130",,Daniel Marques,https://www.linkedin.com/in/daniel-marques-62898714a/,,
"INTCO MEDICAL,E-198",,,,,
"MEDhCIR,A-31",,,,,
"Oxymed,D-50",,Paulo,https://www.linkedin.com/in/phmolinari/,,
"Planisa,C-110",,Agostini,https://www.linkedin.com/in/agostini-eduardo-luiz-5353b092/,,
"BIOTEK,C-206",,,,,
"BUSINESS FRANCE,G-202",,,,,
"BIOCON,C-139",,Louise Viana,https://www.linkedin.com/in/louise-viana-magalhaes/,,
"BIOSAT,H-59",,,,,
"ENDOBRAX,C-50",,Robson Santos,https://www.linkedin.com/in/robson-santos-ab274931/,,
"Quinelato,C-200",,,,,
"TTS DO BRASIL LTDA,SEM STAND",,,,,
"CMOS DRAKE SA,SEM STAND",,,,,
"OXINAL,A-21",,,,,
"SIEMENS HEALTHINEERS,G-19",,,,,
"BIOMASS BRASIL,C-168",,,,,
"BRAINLAB,D-59",,,,,
"WN Hospitalar,D-186",,,,,
"Cimtech,B-154",,,,,
"Global Tec Indústria e Comercio de Equipamentos Médicos Ltda,G-48",,,,,
"GS1 BRASIL,C-117",,,,,
"ONA - ORGANIZAÇÃO NACIONAL DE ACREDITAÇÃO,I-76a",,,,,
"VHMED,G-65",,,,,
"Rhosse Instrumentos e Equipamentos Cirúrgicos,E-49",,,,,
"CLEAN MEDICAL,C-28",,Lucas Meneguetti,https://www.linkedin.com/in/lucasmeneguetti/,,
"CRALPLAST,C-130",,Rony Cecconello,https://www.linkedin.com/in/rony-cecconello-629638a8/,,
"DINATEC,L-14",,,,,
"NOXTEC,E-89",,Breno Leal,https://www.linkedin.com/in/breno-leal-427a453a/,Robson Ctão,
"Soft Aid,B-178 | EX.02",,,,,
"TÜV RHEINLAND,C-79",,,,,
"Biocare,A-37",,,,,
"Biosensor,F-90",,,,,
"Bistos,A-62",,,,,
"iCelera,B-73",,Wilson Renato,https://www.linkedin.com/in/wilson-renato-francisco-90b2268/,,
"KL BRASIL,C-89",,Israel Valetin,https://www.linkedin.com/in/israel-valentim-087424102/,,
"KONEX INDÚSTRIA E COMÉRCIO LTDA,K-37",,Luiz Mucciolo,https://www.linkedin.com/in/luiz-mucciolo-b876087/,,
"PERFIL Assessoria Contábil,F-202",,,,,
"POSKOM,G-180c",,,,,
"Bralimpia Equipamentos,F-100",,,,,
"SPDATA,D-108",,,,,
"Toth Lifecare,F-58",,,,,
"ANAHP,I-36",,,,,
"MF INSTRUMENTAL,E-193a",,Marcelo Correia,https://www.linkedin.com/in/marcelo-correia-b0550831a/,,
"OMRON,B-195",,,,,
"ABIMED,H-32",,,,,
"MADU MOBILIÁRIO TÉCNICO LTDA,SEM STAND",,,,,
"7import Medical Group,B-31",,,,,
"ARKMEDS,D-119",,,,,
"CMR SURGICAL,F-56",,,,,
"ABDEH,H-96",,,,,
"AG SUS,I-05",,,,,
"BOWA MEDICAL,B-11",,Ronaldo Oliveira,https://www.linkedin.com/in/ronaldo-oliveira-941a6919/,,
"COSMODERMA INDÚSTRIA,B-202",,,,,
"IOL IMPLANTES,SEM STAND",,,,,
"MRC HOSPITALAR,B-196",,,,,
"Rufino Ortopedia,B-161",,,,,
"TANIS TECNOLOGIA,F-198",,,,,
"TEB Tecnologia Eletrônica Brasileira Ltda,B-78",,,,,
"BIONEXO,D-105",,,,,
"BIG FISH,F-189",,,,,
"Grupo Condor,D-57",,,,,
"Latini Group,D-211",,,,,
"Multitone,E-111",,,,,
"Power Lite,E-131",,,,,
"UNICRED,I-32",,,,,
"Beyond,E-51",,,,,
"ECLIN,G-38",,,,,
"LUMED,D-280a",,,,,
"NEOLASER,B-166",,,,,
"Shunmei Medical Co ltd,SEM STAND",,,,,
"TV DOUTOR,I-26",,,,,
"SALUX,D-109",,,,,
"HAOXI Equipamentos Médicos Hospitalares,J-20",,,,,
"Meheco do Brasil,D-208",,,,,
"Anadona Descartáveis para a Saúde,F-161",,,,,
"Grupo Guará,F-69",,,,,
"Medicalfix,G-130",,,,,
"SICOOB CREDICOM,H-24",,,,,
"TAKE CARE,F-141",,,,,
"VENOSAN,E-141",,,,,
"ALIVE HEART,D-179",,,,,
"Diferencial Tributária,H-30",,,,,
"grafMED,C-119",,,,,
"GST CORP,A-119",,,,,
"HPBIO,F-58",,,,,
"MAGIC MEDIC,G-128",,,,,
"Marconi Souto,G-108",Não,,,,
"MS TECNOLOGIA EM RADIOLOGIA,A-116",,,,,
"NOVA BIOMEDICAL BRASIL,B-138",Ñ localiz,,,,
"Nutromni Serviços de Nutrição,H-110",Sim,Ricardo Oliveira,https://www.linkedin.com/in/ricardo-oliveira-7558482a/,,
"Prointec,L-44",Ñ localiz,,,,
"PROM ARGENTINA,G-220",Intern,,,,
"Taimin,A-24",Sim,Camilla Augusto,,,
